氏	shì
氐	Dī
氓	máng
氜	yáng
汗	hàn
汤	tāng
沓	tà
沙	shā
没	méi
沤	ōu
泊	bó
泌	mì
泡	pào
泥	ní
泷	lóng
洇	yīn
洗	xǐ
洞	dòng
派	pài
浅	qiǎn
浆	jiāng
济	jì
浚	jùn
涌	yǒng
涡	wō
涨	zhǎng
淋	lín
混	hùn
渐	jiàn
渑	miǎn
渠	qú
湮	yān
湴	bàn
溃	kuì
溇	Lóu
溜	liū
溺	nì
漂	piāo
漯	luò
潦	liáo
潵	sàn
澄	chéng
澹	dàn
濯	zhuó
瀑	pù
灠	lǎn
炅	jiǒng
炔	quē
炮	pào
炸	zhà
烙	lào
焌	jùn
焘	tāo
焢	hōng
煆	xiā
煞	shà
熜	cōng
熨	yùn
熬	áo
燎	liáo
燕	yàn
爇	ruò
爌	kuàng
爪	zhuǎ
爯	chēng
片	piàn
牟	Mù
犍	jiān
猫	māo
猲	hè
猵	biān
獞	tóng
率	lǜ
王	wáng
玟	mín
玢	bīn
琢	zhuó
瑱	tiàn
璚	jué
甚	shèn
甬	yǒng
甭	béng
甮	béng
町	tǐng
畜	chù
番	fān
畬	shē
疟	nüè
疸	dǎn
症	zhèng
瘅	dān
瘥	chài
瘩	da
的	de
皻	zhā
监	jiān
盖	gài
盛	shèng
相	xiāng
省	shěng
眄	miǎn
看	kàn
眯	mī
着	zhe
睄	qiáo
矫	jiǎo
石	shí
砉	huā
砌	qì
砢	luǒ
砩	fú
硐	dòng
硙	wèi
碌	lù
磅	bàng
磕	kē
磨	mó
祢	mí
祭	jì
禁	jìn
禅	chán
禺	yú
离	lí
种	zhǒng
秘	mì
秜	ní
秤	chèng
称	chēng
稍	shāo
稽	jī
空	kōng
窨	xūn
窾	kuǎn
竺	Zhú
笼	lóng
筊	jiǎo
答	dá
筠	yún
篹	zhuàn
簸	bò
粘	nián
粥	zhōu
糊	hú
糜	mí
系	xì
累	lèi
絓	guà
絜	jié
絻	wèn
繁	fán
繇	yáo
纚	lí
红	hóng
纤	xiān
纥	hé
约	yuē
纪	jì
结	jié
给	gěi
络	luò
绦	tāo
绰	chuò
绷	bēng
综	zōng
绿	lǜ
缀	zhuì
缉	jī
缝	fèng
缥	piǎo
缪	miù
缯	zēng
缲	qiāo
罢	bà
翘	qiào
翟	Zhái
耙	pá
耶	yē
肖	xiào
肚	dù
背	bèi
胖	pàng
胳	gē
脉	mài
脏	zāng
脚	jiǎo
脯	pú
腊	là
腌	yān
膀	bǎng
膈	gé
膏	gāo
膔	lù
膻	shān
臊	sào
臧	zāng
臭	chòu
舌	shé
舍	shè
般	bān
艮	gèn
色	sè
艾	ài
节	jié
芍	sháo
芥	jiè
芫	yuán
芯	xīn
芴	wù
芾	fèi
苔	tái
苕	tiáo
苣	jù
若	ruò
茄	qié
茆	máo
茈	zǐ
茜	qiàn
荅	dá
草	cǎo
荑	yí
荠	qí
荡	dàng
荤	hūn
荥	yíng
荫	yìn
荷	hé
莎	shā
莘	shēn
莞	wǎn
莩	piǎo
莳	shì
莶	xiān
菀	wǎn
菌	jūn
菲	fēi
萹	biān
落	luò
著	zhù
葛	Gě
蒙	méng
蓂	mì
蓔	yǎo
蓼	liǎo
蔓	màn
蔚	wèi
蕃	fān
蕉	jiāo
蕻	hóng
薄	báo
薶	wō
藉	jiè
藏	cáng
藨	biāo
虺	huī
虾	xiā
蚂	mǎ
蚌	bàng
蛄	gū
蛇	shé
蛤	há
蛸	shāo
蜇	zhē
蝃	dì
螫	shì
蠡	lí
血	xuè
行	xíng
衣	yī
衩	chà
衰	shuāi
袷	jiá
裎	chéng
裨	bì
裳	shang
裼	tì
褚	Chǔ
褪	tuì
褶	zhě
要	yào
覃	Qín
覐	jué
见	jiàn
观	guān
觉	jué
角	jiǎo
觜	zī
解	jiě
觧	jiě
訾	zī
论	lùn
识	shí
语	yǔ
说	shuō
诶	ēi
读	dú
调	tiáo
谜	mí
谩	màn
谯	qiáo
豁	huō
豊	lǐ
豻	àn
貉	mò
贲	bēn
贾	Jiǎ
赚	zhuàn
趄	jū
趟	tàng
趯	yuè
足	zú
跂	qí
跄	qiàng
跑	pǎo
踅	xué
踉	liàng
踏	tà
蹊	qī
蹬	dēng
蹲	dūn
蹶	juě
车	chē
轧	yà
转	zhuǎn
轲	Kē
轴	zhóu
载	zǎi
辗	niǎn
辟	pì
边	biān
迆	yǐ
过	guò
还	hái
这	zhè
远	yuǎn
迤	yǐ
迫	pò
追	zhuī
适	shì
通	tōng
逮	dǎi
遂	suì
遛	liú
那	nà
郄	Xì
都	dōu
酊	dīng
酖	dān
酢	cù
酦	fā
采	cǎi
重	zhòng
量	liáng
鉄	tiě
钉	dīng
钌	liào
钐	shān
钑	sà
钯	bǎ
钸	bū
钻	zuàn
钿	diàn
铅	qiān
铛	dāng
铣	xiǎn
铤	tǐng
铫	yáo
铮	zhēng
铺	pù
锔	jū
锯	jù
镏	liù
镐	hào
镝	dí
镡	Tán
镪	qiǎng
长	cháng
间	jiān
闷	mēn
阆	láng
阇	dū
阏	è
阙	quē
阿	ā
陂	bēi
陆	lù
降	jiàng
隆	lóng
隐	yǐn
隗	wěi
隽	jùn
难	nán
雀	què
雚	guàn
雨	yǔ
露	lù
靓	liàng
靡	mí
鞅	yāng
鞝	shàng
页	yè
顷	qǐng
颈	jǐng
颉	jié
颏	kē
食	shí
飬	yǎng
餲	ài
饮	yǐn
饹	gē
馇	chā
馏	liú
馕	náng
驮	tuó
骑	qí
骨	gǔ
鬄	tì
鬲	gé
鲜	xiān
鲭	qīng
鳣	zhān
鸟	niǎo
鹄	hú
鹘	hú
麃	biāo
麇	jūn
龈	yín
龟	guī
𫍲	xiǎo
𫘝	jué
𬉼	ǒu
𬒈	què
